OBJECTID,MUSYM,MUKEY,SS_AREA,MUSYM_AREA,SLOPE,musym_1,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,Shape_Length,Shape_Area
254,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,763.164726,28466.58975
255,311B,789931,HHEA,311B_HHEA,B,311B,"Woodbridge fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,432,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,711.0077087,17642.2216
256,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1365.809026,70227.61838
257,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1805.93006,89058.90089
258,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1760.527087,70945.56749
259,316C,789887,HHEA,316C_HHEA,C,316C,"Scituate fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,368,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,602.7185253,15141.87233
260,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2805.061163,306044.1068
261,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,591.6880129,23421.97429
262,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,787.3272048,23295.55177
263,421C,789700,HHEA,421C_HHEA,C,421C,"Canton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,645,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1328.371508,92284.58413
264,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1495.813672,58095.497
265,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2413.782875,205210.8833
266,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,8101.256843,463592.4563
267,316C,789887,HHEA,316C_HHEA,C,316C,"Scituate fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,368,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1482.6979,74795.81583
268,253A,789783,HHEA,253A_HHEA,A,253A,"Hinckley loamy sand, 0 to 3 percent slopes",Consociation,,864,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,563.5840734,17081.88241
269,253A,789783,HHEA,253A_HHEA,A,253A,"Hinckley loamy sand, 0 to 3 percent slopes",Consociation,,864,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,909.238784,36802.02926
